APARTMENT NAME/COMPANY NAME,POINT OF CONTACT NAME,PHONE NUMBER - ,EMAIL ADDRESS,ROLE,PHONE NUMBER DECISION MAKER,LOCATION,HUBSPOT STATUS,COMMENTS
Acremann Properties Limited,,254720059223,,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
"Akiba Estate apartments, Langata Nairobi",,714863545,,,,,,Wrong number is not from KMA estates.
AlphaShine Real Estate Limited,,0790 926 991,info@alphashine.co.ke,,,Eden Plaza Building,,Was unable to connect with anyone from the company.
Arcpost Properties and Consultants,,254708707798,,,,,,Was unable to connect with anyone from the company.
Ariquest Property Limited,,254723304140,,,,,,Was unable to connect with anyone from the company.
Bahamas Property Managers,,111775478,info@bahamaspropertymanagers.co.ke,,,"Santa Plaza, Office Suite A5",,"They currently have a property management software . Upon further inquiry about the property management software, she hang up."
BKM Property Managers Ltd,,254113120000,mark@bkm.co.ke,,,,,"Mark says they have a system, declined to mention the name. Shared our proposal with Mark."
Blue Falcon ,,254798303812,info@bluefalconreal.com,,,"Karen Road, Golden Ivy Plaza",,"Already have a property management software that is working well for them, shared our proposal on Whatsapp."
BomaCore Property Services,,254740152971,bomacorepropertyservices@gmail.com,,,"Tana House, Karen",,"Currently satisfied using QuickBooks for their property operations. Although they have no immediate plans to switch, they have retained our information for future consideration. We have positioned Nyumba Zetu as the logical 'next step' for when their specialized reporting needs exceed QuickBooks' capabilities"
Carlton Realtors,,254113656597,info@carltonrealtors.com,,,,,"I spoke with Sharon, who shared that during their search for a property management software, they were unfortunately unable to receive timely assistance from our team. They have since onboarded another solution and are currently in a binding agreement with their provider. While she expressed a strong preference for our platform and noted that she considers us the best option, they are unable to make a transition at this time. I have shared my contact details with her should their needs change or if they consider switching in the future."
Chazmaz Solutions Limited,,254775803588,,,,,,Was unable to connect with anyone from the company.
Continum Consult,,254731091120,Info@continumconsult.com,,,"165, NGONG ROAD KAREN",,Was unable to connect with anyone from the company.
Crestmont Properties,,254722273302,,,,,,Not interested.
Desert Rose Management,,0722 232858,desertrose@drmco.co.ke /accounts@brlco.co.ke,,,,,Currently are using Bomahut and are quite satisfied with the services. Shared our proposal with them in the event they would think of switching.
Enkavilla Properties Ltd,, 0788 60 60 60,info@enkavilla.co.ke,,,"1st Floor Ndege Rd, Nairobi",,Was unable to connect with anyone from the company.
Epco Village 1 Langata (Condo),,254723 444245,,,,,,Does not do property management.
Freedom Heights Residences ,,720 111 117,info@laser.or.ke,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Gamepark Apartments,,723724351,,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Gardenia Hostels,,714981794,,,,,,Was unable to connect with anyone from the company.
Gargamel Agencies,,254722371399,,,,,,Was unable to connect with anyone from the company.
Hillgate Properties and Real Estate,,0713 383441,,,,,,Already have a property management software. Would not disclose what software they are currently using. She says she would save the contact if they were ever in the market for another software.
Jamhuri Heights Apartments,Samim,0783 000333,,,,St Mary's Mission Hospital,,Samim is new and does not know about the systems in place. She advised me to call tomorrow and speak to her boss who would be better suited to respond and know their current needs and pain points. 
JB Property and Management Company,,254789715560/0705266609,jb.property07@gmail.com,,,,,Was unable to connect with anyone from the company.
Karen Link Properties Limited,,0706 521645,,,,"Ngong Road, Nairobi",,Was unable to connect with anyone from the company.
Karengata Property Managers,Renie ,254715143126 / 254735099932/ 254790498471,karengataproperty@gmail.com,,,Lower Plains rd,,"Not a convenient time to speak, requested that I share the proposal with her."
